iso_3,year,sentiment,amount_of_time_spent_on_climate,Annual COâ‚‚ emissions (per capita),Anual co2 per capita shifted,Change co2
DJI,2020,0.34,0.03225806451612903,0.33325964,0.34297308,-0.009713439999999962
DJI,2021,0.458,0.16666666666666666,0.34297308,0.072721496,0.270251584
DNK,2020,0.11841428571428571,0.23333333333333334,4.854752,5.0522227,-0.19747069999999933
DOM,2013,0.48769999999999997,0.5,2.0938118,2.1202457,-0.026433899999999788
DOM,2014,0.0,0.0625,2.1202457,2.257829,-0.13758330000000019
DOM,2015,0.7564142857142857,0.5833333333333334,2.257829,2.3409507,-0.08312169999999997
DOM,2016,0.6102000000000001,0.2777777777777778,2.3409507,2.2556932,0.08525749999999999
DOM,2017,0.8008,0.2222222222222222,2.2556932,2.3924725,-0.13677929999999971
DOM,2018,0.31108,0.22727272727272727,2.3924725,2.6059487,-0.21347620000000012
DOM,2019,0.31958000000000003,0.3125,2.6059487,2.3982394,0.20770929999999987
DOM,2020,0.5734,0.06666666666666667,2.3982394,2.6014054,-0.20316599999999996
DOM,2021,-0.4588,0.05555555555555555,2.6014054,0.17722899,2.42417641
DZA,2013,0.8047,0.041666666666666664,3.7048435,3.9030473,-0.19820379999999993
DZA,2014,0.41455,0.06896551724137931,3.9030473,4.0484247,-0.1453774000000001
DZA,2015,0.7564500000000001,0.13333333333333333,4.0484247,3.9353251,0.11309959999999997
DZA,2016,,0.0,3.9353251,4.0453415,-0.11001640000000013
DZA,2017,,0.0,4.0453415,4.1479607,-0.10261919999999947
DZA,2018,,0.0,4.1479607,4.2033315,-0.055370800000000386
DZA,2019,-0.5013666666666666,0.16666666666666666,4.2033315,3.9700308,0.23330070000000003
DZA,2020,,0.0,3.9700308,3.9899774,-0.019946599999999926
DZA,2021,,0.0,3.9899774,0.0,3.9899774
ECU,2013,0.10115,0.09523809523809523,2.522102,2.7404044,-0.21830240000000023
ECU,2014,0.44670000000000004,0.05172413793103448,2.7404044,2.5485291,0.19187529999999997
ECU,2015,0.34525,0.42857142857142855,2.5485291,2.4439662,0.1045628999999999
ECU,2016,-0.015199999999999991,0.15789473684210525,2.4439662,2.4001715,0.0437947000000003
ECU,2017,0.010666666666666677,0.1875,2.4001715,2.2476408,0.1525306999999998
ECU,2018,0.5009250000000001,0.11428571428571428,2.2476408,2.321556,-0.07391520000000007
ECU,2019,0.8957,0.047619047619047616,2.321556,1.9590796,0.36247640000000025
ECU,2020,-0.23646666666666669,0.05454545454545454,1.9590796,2.321741,-0.3626613999999999
ECU,2021,0.9635,0.05263157894736842,2.321741,0.00095592125,2.3207850787499997
EGY,2013,0.7717,0.03225806451612903,2.2641215,2.3736145,-0.10949300000000006
EGY,2014,,0.0,2.3736145,2.2970836,0.07653089999999985
EGY,2015,0.9098999999999999,0.09523809523809523,2.2970836,2.399037,-0.10195339999999975
EGY,2016,0.71336,0.16666666666666666,2.399037,2.5553803,-0.15634330000000007
EGY,2017,0.9597,0.03333333333333333,2.5553803,2.3511283,0.20425199999999988
EGY,2018,,0.0,2.3511283,2.4251409,-0.0740126000000001
EGY,2019,,0.0,2.4251409,2.194384,0.23075690000000026
EGY,2020,,0.0,2.194384,2.2846344,-0.09025039999999995
EGY,2021,0.054700000000000026,0.08695652173913043,2.2846344,0.12255758,2.16207682
ERI,2013,,0.0,0.18833019,0.189983,-0.0016528100000000046
ERI,2014,,0.0,0.189983,0.18898953,0.000993470000000024
ERI,2015,-0.9531,0.14285714285714285,0.18898953,0.19178715,-0.0027976200000000007
ERI,2016,,0.0,0.19178715,0.20732054,-0.015533390000000008
ERI,2017,0.9515,0.1,0.20732054,0.24099113,-0.03367059
ERI,2018,,0.0,0.24099113,0.24450994,-0.003518810000000011
ERI,2019,0.8608,0.1111111111111111,0.24450994,0.22023872,0.02427122000000001
ERI,2020,,0.0,0.22023872,0.22666506,-0.006426340000000003
ERI,2021,,0.0,0.22666506,0.0004908724,0.2261741876
ESP,2020,-0.08999999999999997,0.12727272727272726,4.504277,4.9202914,-0.4160143999999999
ESP,2021,0.36766,0.09803921568627451,4.9202914,0.20473449,4.71555691
ETH,2013,0.20759999999999998,0.19444444444444445,0.10074771,0.12047053,-0.019722820000000002
ETH,2014,0.992,0.1111111111111111,0.12047053,0.123901345,-0.00343081499999999
ETH,2015,,0.0,0.123901345,0.1362616,-0.012360255000000014
ETH,2016,0.34885,0.3076923076923077,0.1362616,0.14370508,-0.007443480000000002
ETH,2017,0.5104166666666666,0.5,0.14370508,0.14224885,0.0014562300000000028
ETH,2018,,0.0,0.14224885,0.16033709,-0.018088239999999978
ETH,2019,0.658325,0.23529411764705882,0.16033709,0.14541018,0.014926909999999988
ETH,2020,0.06717999999999999,0.2631578947368421,0.14541018,0.14792238,-0.0025121999999999922
ETH,2021,0.23646666666666669,0.1111111111111111,0.14792238,0.06221011,0.08571227
FJI,2013,0.346925,0.13333333333333333,1.1351389,1.2885965,-0.15345759999999986
FJI,2014,,0.0,1.2885965,1.3542126,-0.06561610000000018
FJI,2015,,0.0,1.3542126,1.2806851,0.07352750000000019
FJI,2016,0.4491,0.041666666666666664,1.2806851,1.4233043,-0.14261920000000017
FJI,2017,0.9682333333333334,0.1875,1.4233043,1.4750098,-0.05170549999999996
FJI,2018,0.9224666666666667,0.11538461538461539,1.4750098,1.4798502,-0.004840399999999967
FJI,2019,0.14227999999999996,0.2777777777777778,1.4798502,1.5544984,-0.07464819999999994
FJI,2020,-0.03365,0.16,1.5544984,1.5902857,-0.035787299999999966
FJI,2021,0.10587777777777779,0.225,1.5902857,0.021156946,1.5691287539999998
FRA,2019,0.45494736842105266,0.3958333333333333,4.9128566,4.342917,0.5699395999999997
FRA,2020,0.954375,0.09523809523809523,4.342917,4.7413116,-0.3983946000000005
FRA,2021,0.24445999999999998,0.08196721311475409,4.7413116,0.0,4.7413116
GAB,2013,0.69912,0.09803921568627451,3.1157205,3.238363,-0.12264249999999999
GAB,2014,0.739225,0.12121212121212122,3.238363,3.1922517,0.04611130000000019
GAB,2015,0.6910999999999999,0.17391304347826086,3.1922517,3.1260996,0.06615210000000005
GAB,2016,0.71384,0.2631578947368421,3.1260996,2.9369884,0.1891111999999997
GAB,2017,0.24855,0.19047619047619047,2.9369884,2.7335813,0.20340710000000017
GAB,2018,0.22865000000000002,0.25,2.7335813,2.557198,0.1763832999999999
GAB,2019,0.78425,0.3,2.557198,2.483145,0.07405300000000015
GAB,2020,0.48904,0.08771929824561403,2.483145,2.4399939,0.043151099999999776
GAB,2021,0.41988333333333333,0.1935483870967742,2.4399939,0.047771625,2.392222275
GBR,2020,0.9076,0.02857142857142857,4.8652816,5.1540995,-0.28881789999999974
GEO,2013,,0.0,2.1163492,2.368345,-0.2519958
GEO,2014,-0.1779,0.022727272727272728,2.368345,2.5870674,-0.21872239999999987
GEO,2015,,0.0,2.5870674,2.6696846,-0.08261720000000006
GEO,2016,0.9849,0.08333333333333333,2.6696846,2.6969206,-0.027235999999999816
GEO,2017,,0.0,2.6969206,2.6674635,0.02945709999999968
GEO,2018,,0.0,2.6674635,2.8959723,-0.22850879999999973
GEO,2019,0.13982499999999998,0.1,2.8959723,2.8387778,0.05719450000000004
GEO,2020,,0.0,2.8387778,2.929708,-0.0909302000000003
GEO,2021,,0.0,2.929708,0.044171557,2.8855364430000003
GHA,2013,0.5267,0.034482758620689655,0.52096695,0.53110343,-0.010136480000000003
GHA,2014,0.765,0.02857142857142857,0.53110343,0.5550984,-0.02399496999999995
GHA,2015,0.6789499999999999,0.09523809523809523,0.5550984,0.5265697,0.028528699999999962
GHA,2016,0.9776666666666666,0.09090909090909091,0.5265697,0.46136278,0.06520692000000006
GHA,2017,0.45189999999999997,0.21428571428571427,0.46136278,0.55408466,-0.09272188000000003
GHA,2018,,0.0,0.55408466,0.59343636,-0.03935169999999999
